issue_id,priority,status,category,file_path,line_function_if_available,evidence,why_it_matters,impact,recommended_fix,tests_needed,acceptance_criteria,blocked_by,notes
F-ENC-001,P0,fixed,security / encryption / silent_default_salt,`backend/app/utils/encryption.py`,,"`salt = os.environ.get(""DATAFORGE_ENCRYPTION_SALT"", ""default-salt-change-in-prod"")`. If `DATAFORGE_ENCRYPTION_SALT` is unset in production, per-user AES keys are derived via `hmac.new((user_id + salt).encode(...), salt.encode(...), hashlib.sha256)` — and `salt` is the source-visible literal string `""default-salt-change-in-prod""`. Anyone reading the repo who can guess or enumerate `user_id` strings can reproduce the per-user derived key and decrypt any AuthProfile/session-secret ciphertext.","Plaintext-equivalent leak for encrypted AuthProfile and session-secret fields. The non-dev path for app-level keys (lines 286-300) fails closed, but the per-user branch silently succeeds with the default salt.",Cross-account decryption of encrypted AuthProfile/session data if operators run without setting `DATAFORGE_ENCRYPTION_SALT`.,"Remove the silent default; raise `EncryptionError` (or, in dev/test only, keep the fallback) when `DATAFORGE_ENCRYPTION_SALT` is unset in non-dev envs.",Unit test asserting that encrypt with a `user_id` and unset `DATAFORGE_ENCRYPTION_SALT` raises in non-dev envs; existing round-trip tests continue to pass.,"No code path derives AES keys from the literal `""default-salt-change-in-prod""` in staging or production.",None.,New finding (Session 80). 5-line fix in `encryption.py`.
F-DOCKER-001,P0,fixed,infrastructure / docker / default_target_reload_debug,"`Dockerfile`, `docker-compose.yml`, `docker-compose.override.yml`",,Default target in `docker-compose.yml` is `dev`. Dev stage CMD runs `uvicorn app.main:app --reload --log-level debug`. Override mounts `./backend:/app/backend` and `./scripts:/app/scripts` from host. Combine with `PYTHONDEVMODE=1` in `docker-compose.override.yml:14` and Playwright browser contexts restart on every code reload.,"A fresh `docker compose up` starts a debugger-enabled, host-write-watched reload loop. Tracebacks leak to container logs; `.pyc` files written as user `dataforge` against host UID-owned mounts.","Operators expecting a dev stack actually get noisy traceback logs, broken Playwright contexts on reload, and silent permission-denied issues.",Make `target: production` the default in `docker-compose.yml`; gate `--reload` and `--log-level debug` on `DATAFORGE_ENABLE_RELOAD` env. Optionally rename `dev` → `local-dev`.,`python3 scripts/validate_local.py --quick` exits 0 after the change. `make up` no longer restarts the browser process on a host edit to unrelated files.,Default `docker compose up` does not pass `--reload`.,None.,New finding (Session 80). **Fix shipped:** base compose now defaults to the production target; the dev override opts into `target: dev` and `DATAFORGE_ENABLE_RELOAD=1`. Guarded by `backend/tests/test_docker_dev_target.py`.
F-NGINX-003,P0,fixed,infrastructure / nginx / path_traversal_rate_limit_bypass,`nginx.conf`, `nginx.local.conf`,`location /dashboard/` block in both files,"`location /dashboard/` used `proxy_pass http://dataforge_api;` without a URI component. nginx normalizes `..` segments before proxying: `/dashboard/../api/admin/foo` resolves to `proxy_pass http://dataforge_api/api/admin/foo` after normalization. The `/api/` location has `limit_req zone=api burst=20 nodelay`, but the `/dashboard/../api/...` path matches the prefix location and bypasses that throttle entirely. The same block in `nginx.local.conf` (used by `docker-compose.override.local.yml`) also lacks rate-limiting.","Unbounded request rate to `/api/admin/*` (and the rest of `/api/`) via the `/dashboard/` front-door. Combined with no `/api/admin` deny block in `nginx.local.conf`, attackers reach protected FastAPI routes at unlimited rate.","Admin endpoint probing, brute force, and DoS are all enabled by this single nginx config drift.",Move the rate-limit guard to `location ~ ^/(api|dashboard)/` regex block OR add `rewrite ^/dashboard/(.*)$ /dashboard/$1 break;` to force normalization before rate limiting. (Implemented as inline ``limit_req zone=api burst=20 nodelay;`` on the dashboard location so both prefixes share the same zone.),Integration test: burst 100 requests to `/dashboard/../api/health` and assert nginx returns 503/429 after the limit. Verify legitimate `/api/health` still answers.,Requests for `/api/...` paths trigger the `limit_req` regardless of the prefix used.,None.,New finding (Session 80). **Fix shipped:** both `nginx.conf` and `nginx.local.conf` `location /dashboard/` blocks apply `limit_req zone=api burst=20 nodelay;` (same zone as `/api/`). Guarded by `backend/tests/test_nginx_rate_limit.py`.
F-MON-001,P0,fixed,infrastructure / monitoring / alertmanager_silent_drop,"`scripts/smoke_prod_stack.sh`, `backend/tests/test_alerting_channel_smoke.py`",new pre-drill step in smoke_prod_stack.sh after the `ALERT_READY` check before worker logs,"`smtp_smarthost: '__ALERTMANAGER_SMTP_HOST__'` substitutes `''` (empty) if env unset. Same pattern for `__ALERTMANAGER_SLACK_WEBHOOK_URL__`. The pre-fix smoke only checked ``/-/ready`` which serves HTTP 200 even when both channels are empty. If both channels are empty, all `critical`/`warning`/`info` alerts are silently dropped. `scripts/run_alert_delivery_drill.py` exists but was not wired into `scripts/smoke_prod_stack.sh`.","Operators may believe the alerting pipeline works (Alertmanager shows alerts as ""firing""), but no email/Slack delivery occurs. The drag-fail to deploy phase is invisible.",On-call never pages during real incidents; MTTR climbs; the ""production-ready"" claim is misleading.,Add a healthcheck to Alertmanager that asserts both channels reachable. Wire `python3 scripts/run_alert_delivery_drill.py` into `scripts/smoke_prod_stack.sh` so missing-channel deploys fail.,Smoke test asserts a synthetic alert's receipt on each enabled channel; fails deployment if any channel is empty.,`make prod` cannot succeed when both `ALERTMANAGER_SMTP_HOST` and `ALERTMANAGER_SLACK_WEBHOOK_URL` are unset.,None.,New finding (Session 80). **Fix shipped:** prod smoke now fails closed when both alert channels are absent and runs `scripts/run_alert_delivery_drill.py` against in-network Alertmanager. Guarded by `backend/tests/test_alerting_channel_smoke.py`.
F-DB-001,P0,fixed,infrastructure / db_migrations / non_idempotent_dump,"`backend/migrations/008_postgres_storage_v8.sql`, `scripts/normalize_migration_008.py`, `backend/migrations/008_postgres_storage_v8.sql.original`",post-normalized file structured as CREATE EXTENSION → CREATE TABLE IF NOT EXISTS → CREATE INDEX IF NOT EXISTS → guarded ALTER OWNER DO blocks → schema_version upsert,"Original file began with `\restrict fRKAyhUraWQwVaATmxbYMFspXTvDR27nZM2IShtu4LmwPtevKjM07DEsQblPrmN` and contained raw pg_dump 16 artifact metadata + bare CREATE TABLE / CREATE INDEX / ALTER OWNER lines that were not idempotent against a partially-migrated database. (No `COPY` actually present — the file is `--schema-only` output.)","Operators cannot bootstrap a fresh Postgres cluster via the migrations directory. The pattern was a per-version raw dump, not a migration step. The leading `\restrict` macro also breaks any tool that runs migrations through stdin (psql anti-paste token).",Disaster recovery from a `pg_dump` alone was not safe; `init-db/init.sql:13-21` only creates extensions (`uuid-ossp`, `pg_trgm`) and the actual schema creation is delegated to `app.postgres_repository._ensure_schema()`. There was no way to know which schema versions are applied from outside the app.,Use `pg_dump --schema-only --no-owner --no-privileges` for per-version DDL files. Drop `COPY` data. Track schema versions in a `schema_version` table that `_ensure_schema()` reads on boot. (Ship `scripts/normalize_migration_008.py` and the regenerated idempotent DDL file; original raw dump preserved as `.original` for forensics.),Restart-from-empty Postgres applies DDL files in order with no errors. `_ensure_schema()` idempotency test on already-migrated DB.,`psql -f migrations/<N>.sql` is replayable against any state and reports its version.,None.,New finding (Session 80). **Fix shipped:** see `backend/tests/test_db_migrations_008.py` for the 8-test guard suite and `scripts/normalize_migration_008.py` for the deterministic regen tooling.
F-CI-001,P0,fixed,infrastructure / ci / unsanctioned_auto_merge,`.github/workflows/dependabot-auto-merge.yml`,,Approval runs unconditionally on any Dependabot PR; auto-merge gates only on `semver-patch OR semver-minor` after that approval. Major-version bumps (e.g. FastAPI 0→1) carry a bot approval mark and auto-merge without human review.,Misleading audit trail. A breaking change can land via Dependabot without any human changelog review. The audit log shows a bot approval as if a maintainer blessed it.,"Sudden major-version regressions in FastAPI, SQLAlchemy, requests, etc.",Restrict approval AND auto-merge to `version-update:semver-patch` only. Leave `semver-minor` and `semver-major` for human review.,Synthetic Dependabot PR with `semver-major` label does not auto-merge; `/approve` step is skipped.,No Dependabot major/minor PR lands without human approval.,None.,New finding (Session 80). **Fix shipped:** workflow now has separate metadata, `approve-patch`, `enable-patch-auto-merge`, and human-review jobs; only patch updates are approved and auto-merged. Guarded by `backend/tests/test_dependabot_auto_merge.py`.
F-CI-002,P0,fixed,infrastructure / ci / token_scope_bloat,`.github/workflows/dependabot-auto-merge.yml`,,"Workflow runs with `contents: write + pull-requests: write` at the workflow level for every Dependabot PR. `secrets.GITHUB_TOKEN` only narrows to merge-time, not to step scope.",A compromised step or injection race inherits write permissions through the lifetime of the run. Combined with mutable-tag `uses:` refs (F-CI-003) this is a vector for repo-wide takeover.,Repo-wide privilege escalation if any step in a Dependabot run is compromised.,"Set `permissions: {}` at the workflow level, then per-job `permissions: { contents: read, pull-requests: write }`, escalating only at the merge step.",Inspect job token scopes via `gh api` or a fixture workflow that asserts no `contents: write` until the explicit merge step.,No job in this workflow exposes write scope before its merge step runs.,None.,New finding (Session 80). **Fix shipped:** workflow-level permissions are `{}`; metadata/approval jobs have read or PR-write only, and `contents: write` appears only on the patch merge job. Guarded by `backend/tests/test_dependabot_auto_merge.py`.
F-DOCKER-007,P0,fixed,infrastructure / docker / hardcoded_credentials,`docker-compose.override.local.yml`,,Hardcoded plaintext credentials:,"A file marked ""local testing override"" is actually wiring production-environment-mirror credentials. Anyone with a `git clone` can reuse them against an exposed remote.",Database takeover + Grafana admin takeover via the committed local override.,Replace hardcoded credentials with `${DATAFORGE_DB_PASSWORD}` / `${GRAFANA_PASSWORD}` substitution. Delete the dummy Slack webhook URL. Document the env-var requirements in `.env.example`.,"`grep -E ""postgresql://[^:]+:[^@]+@""` over the committed override returns 0 matches.","Override file contains no literal database password, no literal Grafana admin password, and no literal Slack webhook.",None.,New finding (Session 80). **Fix shipped:** local override now requires caller-provided DATAFORGE_DB_PASSWORD, GRAFANA_PASSWORD, and ALERTMANAGER_SLACK_WEBHOOK_URL substitutions. Guarded by `backend/tests/test_docker_local_override_secrets.py`.
F-ENV-004,P0,fixed,security / env / secrets_outside_docker_secrets,"`docker-compose.prod.yml`, `.env.production.example`, `scripts/load_runtime_secrets.sh`, `scripts/start_server.sh`, `scripts/start_worker.sh`, `scripts/check_prod_env.py`, `scripts/generate_prod_env.py`",API/session Docker secret wiring and runtime loader,"`DATAFORGE_API_KEY`, `DATAFORGE_OPERATOR_API_KEY`, `DATAFORGE_ADMIN_API_KEY`, `DATAFORGE_SESSION_SECRET` sit in `.env` (intended to be ignored — it is via `.env.*`). Unlike `DATAFORGE_DB_PASSWORD`, `GRAFANA_PASSWORD`, and `ALERTMANAGER_SLACK_WEBHOOK_URL` (all mounted as Docker secrets in `docker-compose.prod.yml:435-441`), the API keys are NOT in a `secrets:` block.","Operators shipping Docker on shared hosts leave `.env` in backups, log archives, and operator mail threads. The Docker secrets path is the only end-to-end safe transport; passing through the host filesystem is not.",API keys leak via host backups / shared mount / unintended rotat.,Adopt the same Docker-secrets pattern used for `alertmanager.slack_webhook` for API keys as well.,`docker-compose -f docker-compose.prod.yml config | grep DATAFORGE_DB_PASSWORD` shows a `bind`-style secrets mount; equivalent greps exist for API keys.,"Production API keys are sourced via Docker secrets, not file mounts.",None.,New finding (Session 80). **Fix shipped:** app and worker use mounted Docker secrets plus DATAFORGE_*_FILE env refs; entrypoints load them before validation/startup. Guarded by `backend/tests/test_docker_prod_secret_wiring.py` and `backend/tests/test_check_prod_env.py`.
F-CONFIG-001,P1,fixed,config / env_drift / pg_driver,"`backend/app/storage_interface.py`, `backend/app/worker_queue_postgres.py`, `backend/app/worker_queue_postgres_base.py`, `backend/app/routers/system.py`",,"Three storage/worker paths read the env var with empty-string default (`worker_queue_postgres.py:244`, `worker_queue_postgres_base.py:1061`, `storage_interface.py:969`). The diagnostics endpoint `routers/system.py:109` uses `""psycopg2""` as default. The two paths diverge: when `DATAFORGE_PG_DRIVER` is unset, `storage_interface.py:973-975` warns that production requires `psycopg3`, while `routers/system.py:109` reports `psycopg2`.",Operator sees the wrong driver in the diagnostics panel while the actual code path resolves to empty/psycopg3. Driver drift between the API surface and the worker/storage code.,Confusing support diagnostics; operator may switch drivers based on the wrong info.,"Centralize `DATAFORGE_PG_DRIVER` resolution into one helper in `app.config`, fail closed in production if unset, single default across all readers.",Unit test on the helper; assert `routers/system.py::system_manifest` returns the same driver as the central resolver/storage initializer.,Removing `DATAFORGE_PG_DRIVER` outside production exposes the same driver from `/api/system/manifest` as the storage layer uses; production fails closed if the variable is missing.,None.,"New finding (Session 80). Fix shipped: `app.config.resolve_pg_driver()` now owns runtime PG driver normalization, invalid-value rejection, and production missing-driver fail-closed behavior. `storage_interface.py`, both Postgres worker queue factories, and `routers/system.py::system_manifest` now call the same helper, so diagnostics and storage/worker runtime paths report/select the same driver. Guarded by helper/manifest tests in `backend/tests/test_production_driver_selection.py` and worker dispatch tests in `backend/tests/test_worker_queue_factory_dispatch.py`."
F-DOCKER-002,P1,fixed,infrastructure / docker / mount_permission_drift,`docker-compose.yml:22-61`,,"Dev service mounts `./backend:/app/backend` and `./frontend:/app/frontend` from host while the container runs as user `dataforge` (UID != host user). `--reload` writes `.pyc` and `.pytest_cache` with mismatched UID → ""Permission denied"" noise on Linux when host UID ≠ 1000.",Contributors hit confusing errors on every reload; workaround is undocumented `chown -R 1000:1000 .` on host.,Friction for all contributors on non-UID-1000 hosts.,"Pass `user: ""${UID:-1000}:${GID:-1000}""` to the dev service; or run as root in dev with a clear env flag.",Static guard plus Compose config render with non-1000 UID/GID; docs show `make up` path and direct Compose override.,`make up` exports the host UID/GID, dev Compose runs the service as that UID/GID, and `/app/backend/data` stays under the host bind mount instead of an image-owned named volume.,None.,"New finding (Session 80). Fix shipped: `Makefile` now derives `DATAFORGE_DEV_UID`/`DATAFORGE_DEV_GID` from `id -u`/`id -g` and prefixes development Compose commands with them. `docker-compose.yml` consumes those values via `user: ""${DATAFORGE_DEV_UID:-1000}:${DATAFORGE_DEV_GID:-1000}""` and no longer overlays `/app/backend/data` with the image-owned `dataforge_data` volume in dev. `docs/QUICKSTART.md` now documents `make up` and the direct Compose UID/GID override. Guarded by `backend/tests/test_docker_dev_target.py`."
F-DOCKER-005,P1,fixed,infrastructure / docker / rolling_redeploy_drift,"`docker-compose.prod.yml`, `Makefile`, `scripts/check_prod_env.py`","compose lines 28 + 100; Makefile `prod:` target lines 209-212; `check_prod_env.py::check_image_tag` (line 290) + required-checks entry","Both `dataforge` and `worker` services used `image: dataforge:${DATAFORGE_IMAGE_TAG:-latest}`. Default unpinned tag means rolling `docker compose -f … up -d` without rebuild pulls whatever the registry holds as `latest`. There was no `--pull=never` flag, so Compose fetched from registry on every restart.","Defeats the explicit ""image digest is pinned"" comment at `Dockerfile:14-16`. Production deploy becomes non-reproducible.",A malicious or stale upstream release can silently deploy on next restart.,Generate image tags from CI (`dataforge:${GITHUB_SHA}` or `dataforge:${RELEASE_VERSION}`) and bake the SHA into `.env.production`. Add `--pull=never` to compose commands in prod runbooks.,"Static guard for production image references; `docker compose -f docker-compose.prod.yml config -q` fails when `DATAFORGE_IMAGE_TAG` is missing and renders `dataforge:<tag>` when set.","Production deploy requires `DATAFORGE_IMAGE_TAG`, rejects empty/placeholder/`latest`, and `make prod` uses `--pull=never` with an explicit immutable tag.",None.,"New finding (Session 80). Fix shipped: `docker-compose.prod.yml` now requires `${DATAFORGE_IMAGE_TAG:?...}` for both `dataforge` and `worker`, so a missing tag fails at compose-config time. `Makefile` requires the tag for `build-prod` and `prod`, builds `dataforge:$DATAFORGE_IMAGE_TAG`, and runs production `up` with `--pull=never`. `check_prod_env.py::check_image_tag` rejects empty, placeholder, and `latest` values; the required-checks list enforces `DATAFORGE_IMAGE_TAG`. `.env.production.example`, `docs/RELEASE_CHECKLIST.md`, and `docs/PRODUCTION_STARTUP.md` document the immutable-tag path. Guarded by `backend/tests/test_docker_image_tag_pinning.py` and `backend/tests/test_check_prod_env.py`."
F-DRIFT-001,P1,verified,infrastructure / docker / readonly_bypass,"`docker-compose.prod.yml:48-49, 73, 142`",,"Both prod services have `read_only: true` (root fs locked) but `volumes: - dataforge_data:/app/backend/data` mounts on top **rw** by default — read-only protection is bypassed for that path. A compromised uvicorn can overwrite `semantic_state.json`, logs, etc.","Read-only filesystem is a defense in depth against process compromise; the data volume is wide open, weakening it.",Lateral damage after any process compromise within `/app/backend/data`.,"Mount subpaths (`dataforge_data:/app/backend/data/logs:rw`, `dataforge_data:/app/backend/data/semantic:ro`); narrow the writable surface.",Run a compromised process and assert it cannot write `semantic_state.json` while still writing logs.,Compromise from the API process cannot tamper with `semantic_state.json`.,None.,New finding (Session 80).
F-CI-003,P1,verified,infrastructure / ci / mutable_action_refs,all `.github/workflows/*.yml` (10 files),,"`actions/checkout@v4`, `actions/setup-python@v5`, `actions/setup-node@v4`, `actions/cache@v4`, `actions/stale@v9`, `actions/upload-artifact@v4`, `actions/stale@v9`, `anchore/sbom-action@v0.24.0`, `dependabot/fetch-metadata@v2`, `docker/build-push-action@v5`, `docker/setup-buildx-action@v3` are all mutable tags. Only `appleboy/telegram-action@37056891d444f558225b59f0d26b4b05c5e9828b` is SHA-pinned (the desired model).",Supply-chain compromise vector. Tag ref allows attacker (or accidental push) to swap the action contents and the next CI build runs them.,Repo hijack via action ref push.,SHA-pin all `uses: third/party/action@<full-40-char-sha>` references. Use Dependabot to refresh the SHAs.,Add a CI step that fails the workflow if any `uses:` is not SHA-pinned.,Zero mutable-tag third-party actions in any workflow.,None.,New finding (Session 80).
F-CI-004,P1,verified,infrastructure / ci / fork_pr_token_pivot,`.github/workflows/auto-fix.yml:25-30`,,Any commenter with `/format` triggers a `ruff` / `prettier` push via `GITHUB_TOKEN`. No `if: github.event.pull_request.head.repo.full_name == github.repository` filter — fork PRs can call the workflow. The workflow has `contents: write` globally.,"Combined with mutable-tag actions (F-CI-003), forked PR comments can trigger arbitrary shell-equivalent commands via formatter wrappers.",Arbitrary code-in-shell via misleading `prettier --write` calls against fake paths.,Filter to `head.repo.full_name == github.repository`; pin action SHAs (F-CI-003); switch fallback token to repo-scoped PAT with PR-only scope.,Synthetic fork PR with `/format` comment — workflow does not push.,No fork can trigger a `contents: write` step in auto-fix.,None.,New finding (Session 80).
F-CI-005,P1,verified,infrastructure / ci / detect_secret_emptiness,"`.github/workflows/ci.yml:414-431`, `browser-e2e.yml:120-136`, `optional-suites.yml:114-132`, `postgres-tests.yml:75-87`, `nightly-integration.yml:51-69`, `golden-dataset.yml:51-72`, `validate-production.yml:463-479`",,"GHA substitutes empty strings for unset secrets. The guard `!= ''` always succeeds if the secret slot exists, even if the value is empty. So a misconfigured chat ID/bot token combination silently runs the action step with empty values.",A misconfigured Telegram integration is silently accepted; the absence of a notification is invisible.,Lost alerts during incidents when Telegram is half-configured.,"Test for non-empty values with explicit length check, `if: length(env.TELEGRAM_TOKEN) > 0 && …`.",Synthetic workflow run with `TELEGRAM_TOKEN=` empty value — step skips.,Notification step is skipped when either secret is empty.,None.,New finding (Session 80).
F-CI-008,P1,verified,infrastructure / ci / image_smoke_runner_exposure,`.github/workflows/ci.yml:322-355`,,`image-build` builds then runs the production image on the same runner. No `--network=none --read-only --cap-drop ALL --security-opt no-new-privileges`.,A poisoned production image (via Dependabot dep update) executes inline on the runner — full container surface exposed.,Runner takeover via malicious image.,Add `--network=none --read-only --cap-drop ALL --security-opt no-new-privileges --user 65534` to the smoke `docker run` invocation.,`gh run view `<run-id>` --json jobs[]` shows the smoke container's caps.,Smoke container runs with the listed hardening flags.,None.,New finding (Session 80).
F-CI-010,P1,verified,infrastructure / ci / mutable_action_refs,`.github/workflows/stale-cleanup.yml:30`,,Mutable `@v9` tag (vs SHA or `@v9.0.0` SemVer pin).,Provider can publish a malicious or breaking 9.x release at any time.,Silent change in stale cleanup semantics.,SHA-pin (per F-CI-003 pattern).,Same SHA-pin enforcer as F-CI-003.,`actions/stale` is SHA-pinned.,None.,New finding (Session 80).
F-NGINX-001,P1,verified,infrastructure / nginx / missing_admin_acl,`nginx.local.conf:75-224`,,Production `nginx.conf` has `/api/admin` deny block; `nginx.local.conf` does not. CSP includes `connect-src 'self' ws: wss:` which is essentially no TLS pinning. `/api/` proxy passes everything to FastAPI without IP allow-list.,"In local TLS-bypass mode (used by `docker-compose.override.local.yml:118-121`), the entire nginx HTTP server is the *only* firewall between host network and the FastAPI app. Any future refactor that exposes a sensitive endpoint under `/api/` flows unconditionally through the proxy.",Local-dev HTTP exposure of admin paths.,Add a `/api/admin` deny block to `nginx.local.conf` matching the production file. Or add an IP allow-list `127.0.0.1` only.,Curl admin paths from a non-loopback NIC — returns 403.,Local nginx refuses `/api/admin/*` and `/api/system/admin/*` paths.,None.,New finding (Session 80).
F-NGINX-002,P1,verified,infrastructure / nginx / plaintext_health,`nginx.conf:351-366`,,The block proxies `/health` and `/ready` plaintext back to `http://dataforge_api`. CWE-200: liveness state fingerprintable.,Cleartext monitoring endpoints are routinely probed by uptime services and hostile observers. A network observer fingerprints the deployment's health.,Reconnaissance advantage during incident response.,Add `return 301 https://$host$request_uri;` for `/health` and `/ready` too. Update the smoke test to use HTTPS.,Curl `http://host/health` returns 301.,"All /health, /ready redirects are TLS-only.",None.,New finding (Session 80).
F-NGINX-004,P1,verified,infrastructure / nginx / duplicated_security_headers,`nginx.conf:138-306`,,"Same 5-header block (X-Frame-Options, X-Content-Type-Options, Referrer-Policy, Permissions-Policy, Content-Security-Policy) repeated across 10+ locations.",Header drift bugs. A new `location ~ \.js$` block added without copying the security headers silently bypasses CSP.,Inconsistent header enforcement; future drift undetected.,Use `add_header` in a shared file via `include /etc/nginx/security_headers.conf;` plus top-level `map` in `http {}`.,Smoke test: every endpoint (not under SSL) returns CSP.,Single source for security headers; per-location overrides only when intentional.,None.,New finding (Session 80).
F-MON-002,P1,verified,infrastructure / monitoring / cardinality_bomb,"`prometheus_alerts.yml:102-110`, `metrics_collector.py:63-65`",,`_ssrf_rejects` is keyed by caller-supplied `reason` (essentially URL patterns). Alert expression sums across reason labels. An attacker driving many distinct URLs adds many `reason` series.,Unbounded label cardinality → Prometheus TSDB OOM.,DoS on observability; alert masking as well.,"Bound reason label via an allow-list (`private_ip`, `loopback`, `dns_filter`, `scheme`, `port`, `unspecified`); collapse unknown reasons to `other`.",Synthetic load test with 10k distinct URLs; series cardinality stays bounded.,`_ssrf_rejects` never exceeds 7 distinct `reason` values.,None.,New finding (Session 80).
F-MON-003,P1,verified,infrastructure / monitoring / single_instance_amber,"`prometheus.yml:36-38`, `docker-compose.prod.yml:403`",,"Single alertmanager instance with empty cluster gossip address. If the container dies, all alerts drop. No `AlertmanagerDown` alert because alertmanager isn't a Prometheus scrape target.",SPOF for alerting pipeline; notification routes do not failover.,Total alert loss during alertmanager outage.,Either run alertmanager with HA (2+ replicas + gossip) or document single-instance trade-off and add `DataForgeAlertmanagerDown` alert.,Synthetic alertmanager kill → on-call pages within 60s.,Either failover works or explicit down-alert fires.,None.,New finding (Session 80).
F-MON-007,P1,verified,infrastructure / monitoring / alert_fatigue_duplicate,`alertmanager.yml:78-87`,,`continue: true` causes critical alerts to deliver both to `critical` (line 116-141) AND `default` (lines 109-114) receiver. 5 critical alerts produce 10 email + 5 Slack = 15 outbound.,Alert fatigue. Operators start ignoring `critical` because there are too many duplicate messages.,Real incidents lost in the noise.,Drop `continue: true`; ensure `critical` receiver owns all delivery paths. Use `mute_time_intervals` correctly.,Synthetic critical alert delivers exactly 1 email + 1 Slack.,No duplicate notifications in alertmanager routes.,None.,New finding (Session 80).
F-DOC-001,P1,verified,docs / readme / validate_gate_mislabeled,"`README.md`, `Makefile`",,"README states ""Passes with `make validate`"" but `make validate` actually runs `python3 scripts/validate_local.py --full` (the unbounded, slower gate). README also lists `python3 scripts/validate_local.py --quick` and `make validate` separately as if they're different.","Operators expect `make validate` to be the quick local-gate; they get the slow, full-local check. Documentation drift hides the actual default gate.",Confusing contributor interpretation; possible time wasted on full runs.,"Either: (a) make `make validate` run `--quick`, or (b) update README to say ""Passes with `make validate` (runs `--full`)"". Pick one and document.",Manual: `make -n validate` shows the actual `--full` execution.,"README, Makefile, and AGENTS.md all agree on which mode `make validate` runs.",None.,New finding (Session 80).
F-MON-009,P1,verified,infrastructure / monitoring / alert_query_against_unrelated_metric,"`prometheus_alerts.yml:124`, `metrics_collector.py:267-281`",,"Alert expression `dataforge_repo_query_latency_seconds{quantile=""0.95""} > 0.5` implies a PromQL summary metric. The metric in code is a Python list ring buffer with no `quantile` label. PromQL returns no series; alert never fires.",This alert will **never fire** in current setup. Operators expect it to catch Postgres latency regressions.,Silent regression-monitoring gap during incident response.,"Either expose `dataforge_repo_query_latency_seconds_bucket` as a real Histogram (use `histogram_quantile(0.95, …)`) or switch the alert expression to a derived gauge.",Force slow query; assert `DataForge...Instance...alert-test` evaluation returns firing.,Alert can fire on real latency regression.,None.,New finding (Session 80).
F-NAMING-001,P1,fixed,code_quality / naming_typo / public_export,"`backend/app/services/job_mutation_service.py`, `backend/app/routers/jobs_write.py`",,"Class name is `JobReclenerService` (typo for ""Recleaner""). Imported in `routers/jobs_write.py:49, 209, 211, 213, 215` and exposes API surface for `/api/jobs/<id>/reclean`.","Typo propagates to user-visible API surface (OpenAPI schema, swagger docs) and the docstrings.","Permanent documentation defect; harder to grep for ""recleaner"" across the codebase.",Rename `JobReclenerService` → `JobRecleanerService`. Update imports and test references.,Existing 26 characterization tests pass with the new name; no external caller breaks.,Class name is `JobRecleanerService` throughout.,None.,New finding (Session 80).
F-ENV-002,P1,verified,docs / env_example / drift,"`.env.example`, `.env.production.example`",,"`.env.example` lists `DATAFORGE_TELEGRAM_BOT_TOKEN`, `DATAFORGE_TELEGRAM_CHAT_ID`, `DATAFORGE_TELEGRAM_ENABLED`. `.env.production.example` lists NONE of these.",Operators porting dev templates to production miss notification config entirely; no comment notes the omission.,Production deploys have inconsistent notification behavior vs dev.,Add a `# Notifications (optional)` block to `.env.production.example` matching the dev env structure.,"`diff` after the change shows only env-var-key equality, not value drift.",Both files document all notification env vars.,None.,New finding (Session 80).
F-ENV-003,P1,verified,security / env / check_prod_env_missing,"`scripts/check_prod_env.py:24-33`, `docker-compose.prod.yml:321`",,`GRAFANA_USER` and `GRAFANA_PASSWORD` not in `REQUIRED_VARS`. A misconfigured `GRAFANA_USER=ops` set in `.env.production` slips past the gate.,Single-user Grafana admin with no rotation slips through the gate.,Misconfigured Grafana admin user; permission misassignment post-deploy.,Add `GRAFANA_USER` + `GRAFANA_PASSWORD` to `REQUIRED_VARS` with placeholder/weak-secret check (the existing `--weak-password` style).,Synthetic run with `GRAFANA_USER=ops` triggers gate failure.,`scripts/check_prod_env.py` fails deploy when user/password drift detected.,None.,New finding (Session 80).
F-ENV-005,P1,verified,config / env / llm_fallback_silent,"`.env.example:30-35`, `scripts/check_prod_env.py`",,`DATAFORGE_GROQ_API_KEY=` in `.env.example` with no operator-visible warning that AI structuring fails when unset. `DATAFORGE_LLM_ENABLE_PUBLIC_FALLBACKS=false` mentions fail-closed but the operator signal is missing.,Operators don't know whether their deployment is fully functional until they hit an LLM-call path.,Silent degraded paths; customers see partial data without operator awareness.,Extend `scripts/check_prod_env.py` to assert `DATAFORGE_GROQ_API_KEY` (or LLM) is set when AI structuring is enabled.,Empty `DATAFORGE_GROQ_API_KEY` with `LLM=true` triggers gate failure.,Deploy fails when LLM-required deploy lacks LLM credentials.,None.,New finding (Session 80).
F-DB-002,P1,verified,infrastructure / db_migrations / no_schema_version_tracking,`backend/init-db/init.sql:13-21`,,"Tables are created by `app.postgres_repository._ensure_schema()` at runtime, not by versioned DDL files. There is no `schema_version` table to track applied migrations.",Multiple app versions running against the same database could race on schema apply. Operators cannot rebuild the schema by replaying files (see F-DB-001).,Schema drift during rolling deploys.,Export `_ensure_schema()` DDL into versioned files. Add a `schema_version` table the app reads on boot to determine whether migrations should run.,Boot against an empty DB applies migrations in order; boot against a migrated DB skips migrations.,Schema version is queryable from outside the app process.,None.,New finding (Session 80).
